epoch: 0	train ppl: 539.4499807324344	val ppl: 310.02758855305666	best val: 310.02758855305666	time (s) spent in epoch: 675.0364813804626
epoch: 1	train ppl: 299.5753647523922	val ppl: 229.78911247604765	best val: 229.78911247604765	time (s) spent in epoch: 677.2543225288391
epoch: 2	train ppl: 240.86446622462407	val ppl: 195.43410331392596	best val: 195.43410331392596	time (s) spent in epoch: 677.7292504310608
epoch: 3	train ppl: 207.31304608269048	val ppl: 183.37629100131085	best val: 183.37629100131085	time (s) spent in epoch: 677.9480931758881
epoch: 4	train ppl: 184.46091911517377	val ppl: 165.19429488518225	best val: 165.19429488518225	time (s) spent in epoch: 677.9672100543976
epoch: 5	train ppl: 167.35737497433428	val ppl: 154.08873705387128	best val: 154.08873705387128	time (s) spent in epoch: 677.5724430084229
epoch: 6	train ppl: 153.5117021502728	val ppl: 142.97480983689314	best val: 142.97480983689314	time (s) spent in epoch: 677.937094449997
epoch: 7	train ppl: 142.31073645749794	val ppl: 137.69447223854868	best val: 137.69447223854868	time (s) spent in epoch: 677.4250857830048
epoch: 8	train ppl: 133.05303001303884	val ppl: 140.14683443233855	best val: 137.69447223854868	time (s) spent in epoch: 676.8566625118256
epoch: 9	train ppl: 125.2605217901886	val ppl: 132.1295927480602	best val: 132.1295927480602	time (s) spent in epoch: 676.3718757629395
epoch: 10	train ppl: 118.0987232855339	val ppl: 128.55827946432782	best val: 128.55827946432782	time (s) spent in epoch: 674.446542263031
epoch: 11	train ppl: 112.3220406655645	val ppl: 122.11110669452135	best val: 122.11110669452135	time (s) spent in epoch: 673.9345080852509
epoch: 12	train ppl: 106.99257084467858	val ppl: 121.48094694402347	best val: 121.48094694402347	time (s) spent in epoch: 674.5028603076935
epoch: 13	train ppl: 101.88586214187212	val ppl: 120.38445988806528	best val: 120.38445988806528	time (s) spent in epoch: 674.317076921463
epoch: 14	train ppl: 97.53280555005963	val ppl: 119.53890337915261	best val: 119.53890337915261	time (s) spent in epoch: 674.5850186347961
epoch: 15	train ppl: 93.47546046756499	val ppl: 117.15139907768187	best val: 117.15139907768187	time (s) spent in epoch: 674.6339671611786
epoch: 16	train ppl: 89.96852480002981	val ppl: 118.21016054778032	best val: 117.15139907768187	time (s) spent in epoch: 674.2462077140808
epoch: 17	train ppl: 86.47557449494958	val ppl: 115.51478719135459	best val: 115.51478719135459	time (s) spent in epoch: 674.7813048362732
epoch: 18	train ppl: 83.50075312047655	val ppl: 112.49650938074518	best val: 112.49650938074518	time (s) spent in epoch: 674.700798034668
epoch: 19	train ppl: 80.6091581804944	val ppl: 114.92240424437745	best val: 112.49650938074518	time (s) spent in epoch: 674.04758644104
epoch: 20	train ppl: 77.92012373724799	val ppl: 115.73380862625378	best val: 112.49650938074518	time (s) spent in epoch: 674.2924618721008
epoch: 21	train ppl: 75.39413450623783	val ppl: 113.93274766816812	best val: 112.49650938074518	time (s) spent in epoch: 674.1756002902985
epoch: 22	train ppl: 73.11356467982436	val ppl: 116.34697470875174	best val: 112.49650938074518	time (s) spent in epoch: 674.1570553779602
epoch: 23	train ppl: 70.8917540539553	val ppl: 114.26370805946999	best val: 112.49650938074518	time (s) spent in epoch: 674.2203838825226
epoch: 24	train ppl: 68.96186385870702	val ppl: 113.77840580690486	best val: 112.49650938074518	time (s) spent in epoch: 674.4954514503479
epoch: 25	train ppl: 67.18455725781848	val ppl: 115.71946583840825	best val: 112.49650938074518	time (s) spent in epoch: 674.2290921211243
epoch: 26	train ppl: 65.50084936153839	val ppl: 113.53775480070787	best val: 112.49650938074518	time (s) spent in epoch: 674.6844408512115
epoch: 27	train ppl: 63.84140377182404	val ppl: 117.73819312852308	best val: 112.49650938074518	time (s) spent in epoch: 673.9781448841095
epoch: 28	train ppl: 62.181420701957	val ppl: 114.83461074059824	best val: 112.49650938074518	time (s) spent in epoch: 673.8059117794037
epoch: 29	train ppl: 60.74054080750962	val ppl: 115.01582798630893	best val: 112.49650938074518	time (s) spent in epoch: 675.8659808635712
epoch: 30	train ppl: 59.437047451592875	val ppl: 116.30882386768548	best val: 112.49650938074518	time (s) spent in epoch: 676.0720076560974
epoch: 31	train ppl: 58.25223091950851	val ppl: 116.31652202165758	best val: 112.49650938074518	time (s) spent in epoch: 673.867730140686
epoch: 32	train ppl: 57.04270380262416	val ppl: 115.14990310601202	best val: 112.49650938074518	time (s) spent in epoch: 673.6841471195221
epoch: 33	train ppl: 55.855700767523196	val ppl: 118.8219744605603	best val: 112.49650938074518	time (s) spent in epoch: 672.4158661365509
epoch: 34	train ppl: 54.912499434716494	val ppl: 119.1639180411566	best val: 112.49650938074518	time (s) spent in epoch: 673.281660079956
epoch: 35	train ppl: 54.01734301980136	val ppl: 118.94676740149757	best val: 112.49650938074518	time (s) spent in epoch: 672.7159380912781
epoch: 36	train ppl: 52.8982872383425	val ppl: 118.21943194028506	best val: 112.49650938074518	time (s) spent in epoch: 672.9113719463348
epoch: 37	train ppl: 51.96906111365825	val ppl: 118.90006721142683	best val: 112.49650938074518	time (s) spent in epoch: 673.9985733032227
epoch: 38	train ppl: 51.10960067002028	val ppl: 119.09821824848648	best val: 112.49650938074518	time (s) spent in epoch: 673.4766867160797
epoch: 39	train ppl: 50.2547075795563	val ppl: 121.63187991734434	best val: 112.49650938074518	time (s) spent in epoch: 673.1947095394135
