epoch: 0	train ppl: 131501.43748468437	val ppl: 11276.63881189814	best val: 11276.63881189814	time (s) spent in epoch: 105.9366307258606
epoch: 1	train ppl: 4014.5797083946313	val ppl: 1330.912036708531	best val: 1330.912036708531	time (s) spent in epoch: 106.2691740989685
epoch: 2	train ppl: 1487.477231361875	val ppl: 768.6372693339865	best val: 768.6372693339865	time (s) spent in epoch: 106.51186871528625
epoch: 3	train ppl: 848.8994219036871	val ppl: 579.0343496445743	best val: 579.0343496445743	time (s) spent in epoch: 106.86514186859131
epoch: 4	train ppl: 596.4572925472062	val ppl: 455.6810808380429	best val: 455.6810808380429	time (s) spent in epoch: 107.03011560440063
epoch: 5	train ppl: 506.6261467682255	val ppl: 605.0433693761516	best val: 455.6810808380429	time (s) spent in epoch: 106.30448365211487
epoch: 6	train ppl: 448.4814472640611	val ppl: 395.5598587114284	best val: 395.5598587114284	time (s) spent in epoch: 106.77989888191223
epoch: 7	train ppl: 391.9295591559946	val ppl: 358.76107362825695	best val: 358.76107362825695	time (s) spent in epoch: 106.95047092437744
epoch: 8	train ppl: 351.8653580979481	val ppl: 335.7533574175578	best val: 335.7533574175578	time (s) spent in epoch: 106.87616539001465
epoch: 9	train ppl: 304.71746187146977	val ppl: 388.2931210147983	best val: 335.7533574175578	time (s) spent in epoch: 106.26632785797119
epoch: 10	train ppl: 271.74309349235483	val ppl: 273.9181713262925	best val: 273.9181713262925	time (s) spent in epoch: 106.66078042984009
epoch: 11	train ppl: 249.0819606846243	val ppl: 254.021081801447	best val: 254.021081801447	time (s) spent in epoch: 106.75291013717651
epoch: 12	train ppl: 222.7384024385837	val ppl: 213.70255143923032	best val: 213.70255143923032	time (s) spent in epoch: 106.62784242630005
epoch: 13	train ppl: 202.54332052113654	val ppl: 275.7805859277677	best val: 213.70255143923032	time (s) spent in epoch: 106.09082293510437
epoch: 14	train ppl: 184.1531036090177	val ppl: 219.8525165698704	best val: 213.70255143923032	time (s) spent in epoch: 106.04185175895691
epoch: 15	train ppl: 164.87573543255724	val ppl: 230.09700949326827	best val: 213.70255143923032	time (s) spent in epoch: 105.92952394485474
epoch: 16	train ppl: 151.19679593953023	val ppl: 222.23110317133705	best val: 213.70255143923032	time (s) spent in epoch: 105.99687552452087
epoch: 17	train ppl: 140.85862731473	val ppl: 191.54641246047666	best val: 191.54641246047666	time (s) spent in epoch: 106.3936402797699
epoch: 18	train ppl: 130.50294852656737	val ppl: 197.75233967953284	best val: 191.54641246047666	time (s) spent in epoch: 105.8341019153595
epoch: 19	train ppl: 120.1625348478264	val ppl: 205.79227420529276	best val: 191.54641246047666	time (s) spent in epoch: 105.82427430152893
epoch: 20	train ppl: 113.26010660992364	val ppl: 185.1899990468829	best val: 185.1899990468829	time (s) spent in epoch: 106.16073083877563
epoch: 21	train ppl: 102.8044458433047	val ppl: 187.08941635826864	best val: 185.1899990468829	time (s) spent in epoch: 105.79981184005737
epoch: 22	train ppl: 96.3366714884653	val ppl: 185.03008069386095	best val: 185.03008069386095	time (s) spent in epoch: 106.24908924102783
epoch: 23	train ppl: 90.56587365015042	val ppl: 186.31835713327465	best val: 185.03008069386095	time (s) spent in epoch: 105.74502396583557
epoch: 24	train ppl: 82.46748693884865	val ppl: 186.62570351608437	best val: 185.03008069386095	time (s) spent in epoch: 105.88497257232666
epoch: 25	train ppl: 78.0688228058365	val ppl: 182.77530482915114	best val: 182.77530482915114	time (s) spent in epoch: 106.1250684261322
epoch: 26	train ppl: 71.94207834118195	val ppl: 172.815977127858	best val: 172.815977127858	time (s) spent in epoch: 106.18406414985657
epoch: 27	train ppl: 67.24729097217774	val ppl: 197.92226270698487	best val: 172.815977127858	time (s) spent in epoch: 105.78442120552063
epoch: 28	train ppl: 62.09167333689994	val ppl: 190.97117900527448	best val: 172.815977127858	time (s) spent in epoch: 105.77869033813477
epoch: 29	train ppl: 57.51502740430509	val ppl: 186.7380316518371	best val: 172.815977127858	time (s) spent in epoch: 105.67795324325562
epoch: 30	train ppl: 53.53896590934718	val ppl: 224.1784632876966	best val: 172.815977127858	time (s) spent in epoch: 105.52125787734985
epoch: 31	train ppl: 49.24973188993857	val ppl: 209.56463563967858	best val: 172.815977127858	time (s) spent in epoch: 105.64403080940247
epoch: 32	train ppl: 45.99983468408737	val ppl: 228.99356112554088	best val: 172.815977127858	time (s) spent in epoch: 105.48252320289612
epoch: 33	train ppl: 43.08891463259866	val ppl: 252.04351539883433	best val: 172.815977127858	time (s) spent in epoch: 105.55993723869324
epoch: 34	train ppl: 40.20844972920075	val ppl: 248.83400039720215	best val: 172.815977127858	time (s) spent in epoch: 105.59058618545532
epoch: 35	train ppl: 37.30596508992513	val ppl: 245.74331123935346	best val: 172.815977127858	time (s) spent in epoch: 105.57137823104858
epoch: 36	train ppl: 34.71305659204479	val ppl: 263.29713767950506	best val: 172.815977127858	time (s) spent in epoch: 105.52926206588745
epoch: 37	train ppl: 32.57592435878371	val ppl: 284.21650384434025	best val: 172.815977127858	time (s) spent in epoch: 105.55119013786316
epoch: 38	train ppl: 30.01409294816817	val ppl: 323.1574548059026	best val: 172.815977127858	time (s) spent in epoch: 105.5938458442688
epoch: 39	train ppl: 27.52516495812204	val ppl: 284.97014778543996	best val: 172.815977127858	time (s) spent in epoch: 105.87374186515808
