epoch: 0	train ppl: 1084.7254919469142	val ppl: 910.867945399266	best val: 910.867945399266	time (s) spent in epoch: 91.22783851623535
epoch: 1	train ppl: 834.8781668446562	val ppl: 816.2343141037178	best val: 816.2343141037178	time (s) spent in epoch: 91.31413865089417
epoch: 2	train ppl: 825.3189157087344	val ppl: 766.8873388403061	best val: 766.8873388403061	time (s) spent in epoch: 91.05054831504822
epoch: 3	train ppl: 804.9122577194281	val ppl: 805.0778888374774	best val: 766.8873388403061	time (s) spent in epoch: 90.90825510025024
epoch: 4	train ppl: 818.1706874543978	val ppl: 1001.9934714357428	best val: 766.8873388403061	time (s) spent in epoch: 91.10988402366638
epoch: 5	train ppl: 915.4504234783508	val ppl: 736.3354008990894	best val: 736.3354008990894	time (s) spent in epoch: 91.03963494300842
epoch: 6	train ppl: 792.0897671081751	val ppl: 731.291620402139	best val: 731.291620402139	time (s) spent in epoch: 91.10050964355469
epoch: 7	train ppl: 783.2762087409519	val ppl: 722.1545045816483	best val: 722.1545045816483	time (s) spent in epoch: 90.83186984062195
epoch: 8	train ppl: 774.5637644217119	val ppl: 734.8117486000585	best val: 722.1545045816483	time (s) spent in epoch: 91.07468008995056
epoch: 9	train ppl: 775.6425703854857	val ppl: 715.3214992623452	best val: 715.3214992623452	time (s) spent in epoch: 91.0499382019043
epoch: 10	train ppl: 761.5649913701506	val ppl: 764.140433898661	best val: 715.3214992623452	time (s) spent in epoch: 90.58329677581787
epoch: 11	train ppl: 770.6291746230859	val ppl: 772.0417836408204	best val: 715.3214992623452	time (s) spent in epoch: 91.05029511451721
epoch: 12	train ppl: 757.0094684396291	val ppl: 796.4983789722894	best val: 715.3214992623452	time (s) spent in epoch: 90.99499130249023
epoch: 13	train ppl: 760.7559061161992	val ppl: 826.6548688814589	best val: 715.3214992623452	time (s) spent in epoch: 90.36652565002441
epoch: 14	train ppl: 751.2103270564626	val ppl: 794.8311268265886	best val: 715.3214992623452	time (s) spent in epoch: 90.23285293579102
epoch: 15	train ppl: 763.359278326678	val ppl: 756.7611425083893	best val: 715.3214992623452	time (s) spent in epoch: 91.03168177604675
epoch: 16	train ppl: 747.4218946749684	val ppl: 835.7655207834392	best val: 715.3214992623452	time (s) spent in epoch: 91.04066157341003
epoch: 17	train ppl: 758.6061814034333	val ppl: 738.5120833738915	best val: 715.3214992623452	time (s) spent in epoch: 90.96375060081482
epoch: 18	train ppl: 742.4546638687547	val ppl: 816.2346384461574	best val: 715.3214992623452	time (s) spent in epoch: 90.83980536460876
epoch: 19	train ppl: 751.545286168784	val ppl: 724.5050677046538	best val: 715.3214992623452	time (s) spent in epoch: 90.9728856086731
epoch: 20	train ppl: 736.5523901110163	val ppl: 806.8357869016284	best val: 715.3214992623452	time (s) spent in epoch: 90.39577865600586
epoch: 21	train ppl: 747.7347947501675	val ppl: 708.2814159523772	best val: 708.2814159523772	time (s) spent in epoch: 91.67650413513184
epoch: 22	train ppl: 733.2291934160054	val ppl: 772.0539016186711	best val: 708.2814159523772	time (s) spent in epoch: 90.69148468971252
epoch: 23	train ppl: 733.3656620694677	val ppl: 713.2240513150151	best val: 708.2814159523772	time (s) spent in epoch: 90.94492077827454
epoch: 24	train ppl: 727.8249044857606	val ppl: 867.4289153248275	best val: 708.2814159523772	time (s) spent in epoch: 90.79452967643738
epoch: 25	train ppl: 738.8803327384289	val ppl: 709.3098046742934	best val: 708.2814159523772	time (s) spent in epoch: 90.87894225120544
epoch: 26	train ppl: 724.5087867611865	val ppl: 795.2535137737589	best val: 708.2814159523772	time (s) spent in epoch: 90.91163468360901
epoch: 27	train ppl: 728.0994331108584	val ppl: 722.7259787022834	best val: 708.2814159523772	time (s) spent in epoch: 90.76954555511475
epoch: 28	train ppl: 721.9771901506953	val ppl: 792.1547824465639	best val: 708.2814159523772	time (s) spent in epoch: 91.14258122444153
epoch: 29	train ppl: 723.8699866501307	val ppl: 704.5121152451119	best val: 704.5121152451119	time (s) spent in epoch: 91.01077365875244
epoch: 30	train ppl: 717.0019288368841	val ppl: 790.7549300942782	best val: 704.5121152451119	time (s) spent in epoch: 91.18184185028076
epoch: 31	train ppl: 718.7979502953835	val ppl: 730.9539465806314	best val: 704.5121152451119	time (s) spent in epoch: 90.94062805175781
epoch: 32	train ppl: 715.4100745658484	val ppl: 798.0204240701617	best val: 704.5121152451119	time (s) spent in epoch: 90.99167203903198
epoch: 33	train ppl: 719.1851857551408	val ppl: 778.7566979963356	best val: 704.5121152451119	time (s) spent in epoch: 91.10518169403076
epoch: 34	train ppl: 714.9784973670832	val ppl: 767.0984568935032	best val: 704.5121152451119	time (s) spent in epoch: 91.21397995948792
epoch: 35	train ppl: 719.849439698004	val ppl: 725.0219037503832	best val: 704.5121152451119	time (s) spent in epoch: 91.15161609649658
epoch: 36	train ppl: 716.9945271101361	val ppl: 757.2972273407697	best val: 704.5121152451119	time (s) spent in epoch: 90.96426701545715
epoch: 37	train ppl: 716.7247204040744	val ppl: 719.2730650486126	best val: 704.5121152451119	time (s) spent in epoch: 91.40774273872375
epoch: 38	train ppl: 712.2653063490023	val ppl: 717.3098956504688	best val: 704.5121152451119	time (s) spent in epoch: 91.0900411605835
epoch: 39	train ppl: 711.1756557083057	val ppl: 710.4850389775024	best val: 704.5121152451119	time (s) spent in epoch: 91.18313837051392
