epoch: 0	train ppl: 505.8969975181113	val ppl: 310.53946384126834	best val: 310.53946384126834	time (s) spent in epoch: 916.0436201095581
epoch: 1	train ppl: 297.9615452277239	val ppl: 247.23063574589108	best val: 247.23063574589108	time (s) spent in epoch: 926.2055902481079
epoch: 2	train ppl: 241.94148140116735	val ppl: 218.2108977806373	best val: 218.2108977806373	time (s) spent in epoch: 972.1992747783661
epoch: 3	train ppl: 209.86857598110288	val ppl: 202.20820677190397	best val: 202.20820677190397	time (s) spent in epoch: 913.3042345046997
epoch: 4	train ppl: 187.0334419537802	val ppl: 191.15442212524064	best val: 191.15442212524064	time (s) spent in epoch: 916.2114400863647
epoch: 5	train ppl: 169.84393215774867	val ppl: 179.27948899376105	best val: 179.27948899376105	time (s) spent in epoch: 926.5209097862244
epoch: 6	train ppl: 155.84474644465178	val ppl: 173.07742995318236	best val: 173.07742995318236	time (s) spent in epoch: 924.503178358078
epoch: 7	train ppl: 144.39741808177436	val ppl: 168.90257742983886	best val: 168.90257742983886	time (s) spent in epoch: 923.3212506771088
epoch: 8	train ppl: 134.43477911566467	val ppl: 164.6042769095376	best val: 164.6042769095376	time (s) spent in epoch: 918.2254550457001
epoch: 9	train ppl: 126.47083935893673	val ppl: 162.03439126606077	best val: 162.03439126606077	time (s) spent in epoch: 970.8921000957489
epoch: 10	train ppl: 118.91027629551999	val ppl: 162.00878357890383	best val: 162.00878357890383	time (s) spent in epoch: 921.3206706047058
epoch: 11	train ppl: 112.56138097010266	val ppl: 160.01681223129242	best val: 160.01681223129242	time (s) spent in epoch: 905.7053825855255
epoch: 12	train ppl: 106.65190295267472	val ppl: 158.0472135705151	best val: 158.0472135705151	time (s) spent in epoch: 919.975243806839
epoch: 13	train ppl: 101.19597867950252	val ppl: 159.5209696436093	best val: 158.0472135705151	time (s) spent in epoch: 910.9194564819336
epoch: 14	train ppl: 96.43265031670161	val ppl: 158.42177911602795	best val: 158.0472135705151	time (s) spent in epoch: 911.0295941829681
epoch: 15	train ppl: 91.96134032300033	val ppl: 159.332141245717	best val: 158.0472135705151	time (s) spent in epoch: 910.7994058132172
epoch: 16	train ppl: 87.86348235296468	val ppl: 160.79632640590125	best val: 158.0472135705151	time (s) spent in epoch: 910.9555060863495
epoch: 17	train ppl: 83.70256390895055	val ppl: 164.28062625691075	best val: 158.0472135705151	time (s) spent in epoch: 909.8192381858826
epoch: 18	train ppl: 80.38298784194374	val ppl: 163.5072095621959	best val: 158.0472135705151	time (s) spent in epoch: 910.7759020328522
epoch: 19	train ppl: 77.01788185478985	val ppl: 167.05488536608092	best val: 158.0472135705151	time (s) spent in epoch: 908.0138869285583
epoch: 20	train ppl: 73.85171348590943	val ppl: 168.69729401774146	best val: 158.0472135705151	time (s) spent in epoch: 902.3217520713806
epoch: 21	train ppl: 70.95744732855124	val ppl: 169.9672252606885	best val: 158.0472135705151	time (s) spent in epoch: 909.0722272396088
epoch: 22	train ppl: 68.36656808035367	val ppl: 172.05616013463148	best val: 158.0472135705151	time (s) spent in epoch: 909.9352669715881
epoch: 23	train ppl: 65.58725981241817	val ppl: 173.955523213841	best val: 158.0472135705151	time (s) spent in epoch: 910.9898133277893
epoch: 24	train ppl: 63.29369166730149	val ppl: 177.85988823192682	best val: 158.0472135705151	time (s) spent in epoch: 910.4483926296234
epoch: 25	train ppl: 60.997466745759574	val ppl: 181.04414318063075	best val: 158.0472135705151	time (s) spent in epoch: 910.5482392311096
epoch: 26	train ppl: 58.97409217531238	val ppl: 182.74595141747315	best val: 158.0472135705151	time (s) spent in epoch: 910.5444340705872
epoch: 27	train ppl: 56.94038025983155	val ppl: 185.54690541552785	best val: 158.0472135705151	time (s) spent in epoch: 911.1442213058472
epoch: 28	train ppl: 54.97549028778117	val ppl: 186.86235296382122	best val: 158.0472135705151	time (s) spent in epoch: 910.6208674907684
epoch: 29	train ppl: 53.213709183451044	val ppl: 191.46719822812267	best val: 158.0472135705151	time (s) spent in epoch: 910.6912326812744
epoch: 30	train ppl: 51.44398487700293	val ppl: 194.58372691748954	best val: 158.0472135705151	time (s) spent in epoch: 905.4096395969391
epoch: 31	train ppl: 50.0178639701072	val ppl: 200.37184271310286	best val: 158.0472135705151	time (s) spent in epoch: 910.9763994216919
epoch: 32	train ppl: 48.40876359475588	val ppl: 203.30084183818207	best val: 158.0472135705151	time (s) spent in epoch: 910.4826984405518
epoch: 33	train ppl: 46.97116021761589	val ppl: 205.10765418809657	best val: 158.0472135705151	time (s) spent in epoch: 910.8545918464661
epoch: 34	train ppl: 45.825675169296105	val ppl: 208.2450540234006	best val: 158.0472135705151	time (s) spent in epoch: 910.8742830753326
epoch: 35	train ppl: 44.60123544562376	val ppl: 213.7289344695573	best val: 158.0472135705151	time (s) spent in epoch: 704.9375743865967
epoch: 36	train ppl: 43.36565866513276	val ppl: 216.42830660533434	best val: 158.0472135705151	time (s) spent in epoch: 525.426947593689
epoch: 37	train ppl: 42.15873664899358	val ppl: 220.0709400557172	best val: 158.0472135705151	time (s) spent in epoch: 525.271632194519
epoch: 38	train ppl: 41.12321394545617	val ppl: 220.78552921450773	best val: 158.0472135705151	time (s) spent in epoch: 525.3010542392731
epoch: 39	train ppl: 40.20054090698837	val ppl: 225.6255406126508	best val: 158.0472135705151	time (s) spent in epoch: 525.4577674865723
