epoch: 0	train ppl: 526.0592321453182	val ppl: 300.78036189790106	best val: 300.78036189790106	time (s) spent in epoch: 421.62695384025574
epoch: 1	train ppl: 336.4912872176523	val ppl: 251.61052887610973	best val: 251.61052887610973	time (s) spent in epoch: 421.9909224510193
epoch: 2	train ppl: 286.3260865440884	val ppl: 235.47963654459116	best val: 235.47963654459116	time (s) spent in epoch: 422.64035964012146
epoch: 3	train ppl: 256.93368674809284	val ppl: 224.03982918480793	best val: 224.03982918480793	time (s) spent in epoch: 423.21946954727173
epoch: 4	train ppl: 238.10559865665255	val ppl: 219.02489548548257	best val: 219.02489548548257	time (s) spent in epoch: 423.06695008277893
epoch: 5	train ppl: 224.71539639680753	val ppl: 211.03289353029635	best val: 211.03289353029635	time (s) spent in epoch: 423.1382477283478
epoch: 6	train ppl: 213.91611110968236	val ppl: 209.58055052442668	best val: 209.58055052442668	time (s) spent in epoch: 423.21061420440674
epoch: 7	train ppl: 205.72956497659519	val ppl: 205.02848540761053	best val: 205.02848540761053	time (s) spent in epoch: 423.06175899505615
epoch: 8	train ppl: 199.3109396254181	val ppl: 215.01704183478586	best val: 205.02848540761053	time (s) spent in epoch: 423.10050320625305
epoch: 9	train ppl: 193.65387092947154	val ppl: 206.68562695007938	best val: 205.02848540761053	time (s) spent in epoch: 423.15404319763184
epoch: 10	train ppl: 189.72843327844515	val ppl: 204.6448565725184	best val: 204.6448565725184	time (s) spent in epoch: 423.38201212882996
epoch: 11	train ppl: 185.75833566063932	val ppl: 202.08100035715015	best val: 202.08100035715015	time (s) spent in epoch: 423.51039838790894
epoch: 12	train ppl: 182.84759470971537	val ppl: 204.77028821614587	best val: 202.08100035715015	time (s) spent in epoch: 423.1316032409668
epoch: 13	train ppl: 179.96481975611167	val ppl: 203.11866629978036	best val: 202.08100035715015	time (s) spent in epoch: 423.27309799194336
epoch: 14	train ppl: 177.8143186077558	val ppl: 201.18195920062175	best val: 201.18195920062175	time (s) spent in epoch: 423.3656027317047
epoch: 15	train ppl: 175.87689133055144	val ppl: 200.87639350474743	best val: 200.87639350474743	time (s) spent in epoch: 423.26466703414917
epoch: 16	train ppl: 174.1327797010464	val ppl: 202.0378908597225	best val: 200.87639350474743	time (s) spent in epoch: 422.7926299571991
epoch: 17	train ppl: 172.736867412335	val ppl: 196.7155177406639	best val: 196.7155177406639	time (s) spent in epoch: 423.3467893600464
epoch: 18	train ppl: 171.60268468651586	val ppl: 196.59769130145077	best val: 196.59769130145077	time (s) spent in epoch: 423.34329319000244
epoch: 19	train ppl: 170.07735452379498	val ppl: 198.94856060478426	best val: 196.59769130145077	time (s) spent in epoch: 423.0129597187042
epoch: 20	train ppl: 169.243832628738	val ppl: 200.94876825043713	best val: 196.59769130145077	time (s) spent in epoch: 422.9381036758423
epoch: 21	train ppl: 167.9553871715053	val ppl: 202.59692358813845	best val: 196.59769130145077	time (s) spent in epoch: 422.99654841423035
epoch: 22	train ppl: 167.61028169005218	val ppl: 199.39271714952426	best val: 196.59769130145077	time (s) spent in epoch: 423.07760405540466
epoch: 23	train ppl: 166.44013047624907	val ppl: 198.59402087994397	best val: 196.59769130145077	time (s) spent in epoch: 422.97229957580566
epoch: 24	train ppl: 165.94377252581282	val ppl: 201.63464002578206	best val: 196.59769130145077	time (s) spent in epoch: 423.09542202949524
epoch: 25	train ppl: 165.73124367684773	val ppl: 200.2609386938106	best val: 196.59769130145077	time (s) spent in epoch: 425.2516505718231
epoch: 26	train ppl: 164.88120016431327	val ppl: 208.95254880952564	best val: 196.59769130145077	time (s) spent in epoch: 423.01241874694824
epoch: 27	train ppl: 164.39841840503126	val ppl: 204.06915922956847	best val: 196.59769130145077	time (s) spent in epoch: 423.25511741638184
epoch: 28	train ppl: 163.7112315841016	val ppl: 209.00179773822998	best val: 196.59769130145077	time (s) spent in epoch: 423.29896330833435
epoch: 29	train ppl: 163.9692765687362	val ppl: 206.52181118992723	best val: 196.59769130145077	time (s) spent in epoch: 423.21327233314514
epoch: 30	train ppl: 163.2548063019332	val ppl: 207.00469495909235	best val: 196.59769130145077	time (s) spent in epoch: 423.292179107666
epoch: 31	train ppl: 163.08299248638397	val ppl: 207.98614595844356	best val: 196.59769130145077	time (s) spent in epoch: 423.28907561302185
epoch: 32	train ppl: 162.63758468796902	val ppl: 207.36279752393	best val: 196.59769130145077	time (s) spent in epoch: 423.28921484947205
epoch: 33	train ppl: 162.39166886357668	val ppl: 206.70900936489622	best val: 196.59769130145077	time (s) spent in epoch: 421.9899322986603
epoch: 34	train ppl: 161.97579175805424	val ppl: 203.64647379869592	best val: 196.59769130145077	time (s) spent in epoch: 420.90183568000793
epoch: 35	train ppl: 162.1034751679241	val ppl: 208.10687570706813	best val: 196.59769130145077	time (s) spent in epoch: 421.4162793159485
epoch: 36	train ppl: 161.56034690096098	val ppl: 205.85274914248674	best val: 196.59769130145077	time (s) spent in epoch: 422.6196689605713
epoch: 37	train ppl: 161.72162765994156	val ppl: 206.81169143846287	best val: 196.59769130145077	time (s) spent in epoch: 422.5181255340576
epoch: 38	train ppl: 161.14988911391157	val ppl: 203.62313172947444	best val: 196.59769130145077	time (s) spent in epoch: 421.1264910697937
epoch: 39	train ppl: 161.02012922034731	val ppl: 210.9508734292103	best val: 196.59769130145077	time (s) spent in epoch: 423.5892803668976
