epoch: 0	train ppl: 825364.8991782436	val ppl: 5230.668027501661	best val: 5230.668027501661	time (s) spent in epoch: 86.50245428085327
epoch: 1	train ppl: 5749.564955550978	val ppl: 2790.040170927431	best val: 2790.040170927431	time (s) spent in epoch: 86.82347059249878
epoch: 2	train ppl: 4216.224901831171	val ppl: 2105.6920813688057	best val: 2105.6920813688057	time (s) spent in epoch: 86.8485734462738
epoch: 3	train ppl: 4488.2625756312	val ppl: 13536.262809653557	best val: 2105.6920813688057	time (s) spent in epoch: 86.6879825592041
epoch: 4	train ppl: 3489.893861665248	val ppl: 1360.722951752613	best val: 1360.722951752613	time (s) spent in epoch: 86.93020582199097
epoch: 5	train ppl: 2495.422619617469	val ppl: 1626.7446872668638	best val: 1360.722951752613	time (s) spent in epoch: 86.55841088294983
epoch: 6	train ppl: 2629.1981117300875	val ppl: 1105.0096725700553	best val: 1105.0096725700553	time (s) spent in epoch: 86.86197257041931
epoch: 7	train ppl: 2182.7127361060184	val ppl: 1667.0528993836406	best val: 1105.0096725700553	time (s) spent in epoch: 86.59150195121765
epoch: 8	train ppl: 2145.9171410832632	val ppl: 942.5687410209564	best val: 942.5687410209564	time (s) spent in epoch: 86.79463458061218
epoch: 9	train ppl: 1635.1196277784404	val ppl: 655.3404471025931	best val: 655.3404471025931	time (s) spent in epoch: 86.81549024581909
epoch: 10	train ppl: 1447.0197460950164	val ppl: 4110.099500463631	best val: 655.3404471025931	time (s) spent in epoch: 86.45931005477905
epoch: 11	train ppl: 1234.0887395955292	val ppl: 822.5937371303684	best val: 655.3404471025931	time (s) spent in epoch: 86.41970539093018
epoch: 12	train ppl: 1077.87524035468	val ppl: 1081.9028780104293	best val: 655.3404471025931	time (s) spent in epoch: 86.43848133087158
