epoch: 0	train ppl: 1886.8032599373514	val ppl: 2425.1028008127687	best val: 2425.1028008127687	time (s) spent in epoch: 134.76226925849915
epoch: 1	train ppl: 1187.7688140130222	val ppl: 1065.8841281119073	best val: 1065.8841281119073	time (s) spent in epoch: 134.97576451301575
epoch: 2	train ppl: 933.2587925743528	val ppl: 1380.1600430343162	best val: 1065.8841281119073	time (s) spent in epoch: 134.34578585624695
epoch: 3	train ppl: 786.331771028682	val ppl: 1853.7977706900642	best val: 1065.8841281119073	time (s) spent in epoch: 134.32061338424683
epoch: 4	train ppl: 657.5028798019993	val ppl: 885.313084136285	best val: 885.313084136285	time (s) spent in epoch: 134.94897937774658
epoch: 5	train ppl: 581.5521563176741	val ppl: 2156.4868667765522	best val: 885.313084136285	time (s) spent in epoch: 134.30976343154907
epoch: 6	train ppl: 512.7133706898203	val ppl: 1034.1164305961913	best val: 885.313084136285	time (s) spent in epoch: 134.13749408721924
epoch: 7	train ppl: 476.7126204395357	val ppl: 1723.4171921685993	best val: 885.313084136285	time (s) spent in epoch: 134.08380675315857
epoch: 8	train ppl: 436.0752023923577	val ppl: 756.7463651370508	best val: 756.7463651370508	time (s) spent in epoch: 134.58952116966248
epoch: 9	train ppl: 409.1740863356024	val ppl: 967.5110272387117	best val: 756.7463651370508	time (s) spent in epoch: 133.8366756439209
epoch: 10	train ppl: 383.8815088185474	val ppl: 720.908283130892	best val: 720.908283130892	time (s) spent in epoch: 134.32762908935547
epoch: 11	train ppl: 367.81518391235636	val ppl: 870.6110144297138	best val: 720.908283130892	time (s) spent in epoch: 133.60588788986206
epoch: 12	train ppl: 361.66636911614796	val ppl: 543.4720071279912	best val: 543.4720071279912	time (s) spent in epoch: 134.13114285469055
epoch: 13	train ppl: 345.70393158174505	val ppl: 562.5525045644957	best val: 543.4720071279912	time (s) spent in epoch: 133.52972888946533
epoch: 14	train ppl: 340.39661899168914	val ppl: 687.9732330576163	best val: 543.4720071279912	time (s) spent in epoch: 133.43471431732178
epoch: 15	train ppl: 282.92623375056905	val ppl: 601.1035225212702	best val: 543.4720071279912	time (s) spent in epoch: 133.29155826568604
epoch: 16	train ppl: 245.94489414345384	val ppl: 597.034260400247	best val: 543.4720071279912	time (s) spent in epoch: 133.27179265022278
epoch: 17	train ppl: 225.0323092631139	val ppl: 499.4805519733193	best val: 499.4805519733193	time (s) spent in epoch: 133.5979084968567
epoch: 18	train ppl: 214.1835432673941	val ppl: 471.2045720626362	best val: 471.2045720626362	time (s) spent in epoch: 133.0540108680725
epoch: 19	train ppl: 209.23372148192647	val ppl: 477.7154594260555	best val: 471.2045720626362	time (s) spent in epoch: 132.4662001132965
