epoch: 0	train ppl: 1420.9140995325624	val ppl: 1461.5228125108986	best val: 1461.5228125108986	time (s) spent in epoch: 84.85798525810242
epoch: 1	train ppl: 427.47873942146566	val ppl: 634.2053605191207	best val: 634.2053605191207	time (s) spent in epoch: 85.02272891998291
epoch: 2	train ppl: 334.6320387931082	val ppl: 619.1112356922188	best val: 619.1112356922188	time (s) spent in epoch: 85.09909963607788
epoch: 3	train ppl: 299.7544105411977	val ppl: 558.1061826667634	best val: 558.1061826667634	time (s) spent in epoch: 84.98173952102661
epoch: 4	train ppl: 276.9739120426902	val ppl: 672.86613263101	best val: 558.1061826667634	time (s) spent in epoch: 84.58402395248413
epoch: 5	train ppl: 263.01080530756184	val ppl: 559.5933103059446	best val: 558.1061826667634	time (s) spent in epoch: 84.56128549575806
epoch: 6	train ppl: 253.16524941233655	val ppl: 485.83080262032934	best val: 485.83080262032934	time (s) spent in epoch: 84.89008784294128
epoch: 7	train ppl: 239.42782344407354	val ppl: 595.3837890549988	best val: 485.83080262032934	time (s) spent in epoch: 84.45905804634094
epoch: 8	train ppl: 231.3834200851052	val ppl: 502.1000186062537	best val: 485.83080262032934	time (s) spent in epoch: 84.44325947761536
epoch: 9	train ppl: 222.65404247473285	val ppl: 535.9754649802509	best val: 485.83080262032934	time (s) spent in epoch: 84.44736099243164
epoch: 10	train ppl: 218.43907520893165	val ppl: 559.509495320031	best val: 485.83080262032934	time (s) spent in epoch: 84.39915728569031
